rn	rab.all	rab.win.hide.untreated.Day.1	rab.win.hide.untreated.Day.6	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
K18703	-9.0959501432477	-9.26943212325898	-8.95983024043323	0.331314532208364	4.43285540692094	0.0674463091792351	0.46502331908821	0.570256266385003	0.641089143273796	0.6976	0.745397312395991
K18704	0.366402742431131	0.189941689122104	0.473904160114348	0.277638776928884	0.615151730664118	0.506677605958082	0.262666678013274	0.481753055283073	0.571844151655814	0.514799999999991	0.598695982374137
K18707	3.6160368712924	3.12147983280126	3.96043352993824	0.860999876190814	0.293755954512466	3.08478563316924	4.67861010389608e-05	0.00778046116467409	0.0348304092657017	0.0999999999999986	0.154379986830979
K18765	0.995386006479602	0.605393413165795	1.91050499322314	1.37240670606882	0.641767180787484	2.20326381644686	4.67861010389608e-05	0.0457503394256223	0.0951842884916602	0.0999999999999986	0.154379986830979
K18766	-2.58768117213435	-2.97410906231291	-2.02257514183451	0.0732962081781547	4.74766413520283	0.0163952654825103	0.48500999389272	0.81894871284633	0.862487255412908	0.973900000000002	0.979604494332023
K18768	-5.96310467924747	-5.61915970247185	-7.45529897706245	-1.71221095359916	2.94876593109542	-0.494014695794175	0.28914058243768	0.38955021923302	0.47728116433369	0.583899999999997	0.648034167372253
K18770	-0.248747416548794	0.417797087468562	-0.580980026268701	-1.50324717894041	1.34177552192377	-1.20894875358776	0.0160002846278131	0.121839814375609	0.191719328446058	0.113399999999998	0.170555601847253
K18775	0.707699451714711	0.582684541721344	1.80135350950157	1.18049302788813	0.521660150138904	0.388237417938545	0.333333340277776	0.9098029029307	0.934523576868063	0.700000000000006	0.765683153388859
K18778	4.00405771440799	2.01358423951827	4.8212276829092	2.80155843416399	0.116906975718889	18.3393046781557	4.67861010389608e-05	0.0279776332858071	0.0702015083484228	0.0999999999999986	0.154379986830979
K18779	-3.5082976710786	-2.80765136852959	-7.22999623868131	-4.40447986336038	2.90528785807579	-1.51512860113519	0.000672920018806483	0.10810437165231	0.173193390229997	0.100299999999999	0.154744135447772
K18780	-4.28604556357389	-3.33532741957774	-8.90675102638022	-5.5440853337186	2.50489307609243	-2.30030586287211	4.67861010389608e-05	0.0574113986802964	0.106695535501791	0.0999999999999986	0.154379986830979
K18782	-7.66526376048212	-6.20467143161805	-8.78971885091042	-3.1985322028282	5.14122195041067	-0.51237188110466	0.27333334389995	0.47154515965797	0.547016095683152	0.557999999999995	0.622652349412254
K18785	0.116947090060632	-1.4888058096819	1.85615639276303	3.23406067028979	0.794308029663771	4.02481394537477	4.67861010389608e-05	0.0039828747068923	0.027165077003753	0.0999999999999986	0.154379986830979
K18786	1.19100445130007	-2.79321733897577	2.7497412589475	4.84549971131835	1.08319417412093	2.07968508384658	4.67861010389608e-05	0.06540765147126	0.121490211613564	0.0999999999999986	0.154379986830979
K18792	-4.27010165563419	-3.33158494071205	-8.89658645201459	-5.51048787498157	2.55595912778416	-2.24775292755244	4.67861010389608e-05	0.0618724852348381	0.112917608690394	0.0999999999999986	0.154379986830979
K18793	-0.825170635922838	-1.29497695421373	1.07340144155456	2.39231590096104	1.57340046717638	1.5890195563341	0.00133676857876842	0.0889803778809111	0.151732097295807	0.100499999999999	0.15498810408946
K18794	-1.95078443266956	-2.85856635519343	0.709644780281028	5.02516773488032	3.25333615341273	1.68239493691185	4.67861010389608e-05	0.0532624236888801	0.105161277209551	0.0999999999999986	0.154379986830979
K18800	3.48411694898776	2.51738182098093	4.54145207109888	1.95018516524766	0.308677998694877	6.30021907947834	4.67861010389608e-05	0.000726625109005798	0.0252421793257717	0.0999999999999986	0.154379986830979
K18802	-9.14633739181589	-9.52205041301082	-8.88807470578203	-0.641674905755014	6.97590784958817	-0.0901744515405877	0.469686876541738	0.669128528097799	0.730856551376959	0.783300000000004	0.822671623365502
K18814	-3.76494139824688	-3.37184689461856	-5.31868836537833	-1.71442781873643	2.65063676169169	-0.507176584092974	0.343333339767493	0.627515781299651	0.703604157939269	0.729400000000008	0.788676798331538
K18815	-4.54602013264026	-3.30371932504929	-6.65561717398133	-3.21498467286211	1.7416579884288	-1.7406145005412	0.00799524372355103	0.087504634802299	0.144012154635497	0.105899999999999	0.161360726397338
K18816	0.601206106533164	0.505664197098586	1.11312675262009	0.534936368272745	0.440371192276048	0.483242054293161	0.333333340277776	0.736829918796564	0.796823242700007	0.700000000000006	0.765683153388859
K18817	-4.14816933416913	-6.0464617024268	-0.703533502606948	5.30109750373884	1.4628579031022	3.12124167207494	4.67861010389608e-05	0.0250682071005188	0.0647224355235843	0.0999999999999986	0.154379986830979
K18820	1.52201072628911	-2.02451011981412	2.74258586392299	4.7802795388766	2.78648444869889	1.7177634476038	4.67861010389608e-05	0.106738884081948	0.174153125665535	0.0999999999999986	0.154379986830979
K18821	-7.41329767039158	-5.00737632465717	-8.78531363108486	-3.29109691806273	3.70236143384401	-0.845369478637688	0.162666689598472	0.257194154585073	0.332531877298416	0.323199999999997	0.397705621499829
K18824	-1.60438974072786	-2.2381758431741	0.708700944592817	2.95500411510579	1.7407856069978	1.78642421174903	4.67861010389608e-05	0.077163910876632	0.136612025923502	0.0999999999999986	0.154379986830979
K18827	0.0503505834087505	-1.08561814191025	0.97061900276948	2.0927034631573	0.496253695835357	4.07704918840859	4.67861010389608e-05	0.0273581068955052	0.0689644309549902	0.0999999999999986	0.154379986830979
K18828	2.35557882026982	1.71625652381804	2.67344684078112	0.958260227135049	0.433472398180975	2.36631969275663	4.67861010389608e-05	0.0199388381069439	0.0575682612333338	0.0999999999999986	0.154379986830979
K18829	3.25451613928468	4.18147370737193	2.652400098518	-1.52752664039588	0.601915340136209	-2.24101869383159	4.67861010389608e-05	0.0579547378700127	0.111662416861055	0.0999999999999986	0.154379986830979
K18831	3.56972734460081	2.30241938123254	4.69718083497615	2.14071625005435	0.551801871745504	3.81012166779381	4.67861010389608e-05	0.00511553946999958	0.0286897575151219	0.0999999999999986	0.154379986830979
K18833	0.0821594947662394	0.197461476176024	-1.23359432681364	-1.47956233539648	1.70375904465075	-0.875737474374729	0.204530329917603	0.25937061354877	0.349725340285172	0.370199999999995	0.464210743479723
K18837	-2.73957306180997	-2.76999835862244	-2.68098956568561	0.125543185258399	1.052120723107	0.084475732319013	0.448000001946984	0.570424719322419	0.651961286703434	0.801100000000002	0.837701638473871
K18838	-3.49983001837484	-3.80651161653634	-2.82156218494644	1.083954278053	3.84353237179905	0.249486037590009	0.352431718170889	0.783744759593906	0.832144540567712	0.728500000000004	0.783642875522427
K18839	-6.50729060302646	-7.35080004516877	-3.11194205248522	4.12738183630743	4.66221542972705	0.800175812024967	0.203864107478019	0.326319118638189	0.40497065375443	0.411899999999995	0.490629507980078
K18841	0.339095629017851	0.0847053253610497	0.861785633248989	0.806241338838838	0.272173113956437	2.69236274989769	4.67861010389608e-05	0.104335779920282	0.170676487246986	0.0999999999999986	0.154379986830979
K18842	0.384137460751454	0.0842300856229947	1.05789781880067	1.1972796359744	0.964961116402739	1.3926028093995	0.00932760619403796	0.0824348474757987	0.143326160314985	0.111899999999999	0.168828194058257
K18843	-0.313883030012569	-0.231404431980591	-0.384667661023501	-0.0622866290227826	0.409742013587069	-0.166068497096531	0.438666668972974	0.751724858871691	0.805509248154275	0.812900000000004	0.851714420392596
K18844	-0.952887447418638	-1.19784716015543	-0.745073549312192	0.53354693609154	0.812112154288428	0.687691496718058	0.184543656958648	0.31270451975097	0.406445537462443	0.360799999999996	0.441805695862425
K18845	-8.99632722879587	-9.25277651901477	-8.8155696288881	-0.43637695675802	5.90901353980526	-0.0746579583118454	0.470666667756838	0.647635159125394	0.712184087891461	0.785500000000003	0.823851598278272
K18850	5.99269419365013	4.82423450595177	6.78105731133469	1.95951780751651	0.251580959197687	7.25052123055248	4.67861010389608e-05	0.00315692718912939	0.0253402837710724	0.0999999999999986	0.154379986830979
K18851	-3.35673167977787	-1.1668715101514	-8.81510739004674	-7.50512107827593	2.60774538721861	-2.88456632965577	4.67861010389608e-05	0.030849166009053	0.0698849244089785	0.0999999999999986	0.154379986830979
K18853	-7.72661457214924	-3.93569492115872	-8.78828111258807	-3.7780215147258	5.41126816900363	-0.637457039012269	0.238666679983602	0.427935795995387	0.50367074723916	0.486499999999993	0.563225526248066
K18855	-3.90487970500532	-2.80798505238312	-8.80563718963138	-5.98707782317513	2.61588664097807	-2.33476426170697	4.67861010389608e-05	0.0525374026364857	0.100588666556004	0.0999999999999986	0.154379986830979
K18856	-6.507339798889	-2.60656409696542	-8.8984174787318	-5.41123644561427	3.73423421804446	-1.50412068071741	0.0399734619457231	0.0808024067158501	0.138160803872141	0.143099999999998	0.205310015923901
K18862	-4.18699302275682	-4.34623653107601	-1.83439332690127	2.53951529339651	2.58863066051305	0.414189486446189	0.331778821140233	0.752694137533015	0.805309182093524	0.696100000000006	0.762110333041112
K18866	-7.72107622603472	-4.33150225648902	-8.88051227738109	-3.82881795779522	5.38565854912996	-0.645552432305475	0.236509007497088	0.425657365975487	0.500933262761713	0.481299999999993	0.557423948350666
K18882	-3.50019646952258	-2.82821642236791	-7.17219302284349	-4.34319537057826	2.69971114732135	-1.59138996113916	0.000672920018806483	0.10928563286124	0.174519080862387	0.100299999999999	0.154724460230218
