rn	rab.all	rab.win.water.lime.Day.1	rab.win.water.lime.Day.6	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
K00131	-0.142548338783056	-0.37982465228778	0.12584206758021	-0.684716223122375	3.34855013909451	-0.170721341914221	0.435333335769139	0.524937957388108	0.848477357905754	0.973000000000002	0.991577621151981
K00132	-7.10231826226619	-6.65721214754629	-7.42083460501964	-1.07330973711863	4.60876082468623	-0.187531156294341	0.402398404819022	0.562502937256509	0.884588435839369	0.700200000000001	0.930247222279739
K00133	6.05717584058978	5.81993272035869	6.27463888693602	0.449468152169099	0.828543952505436	0.50021726512087	0.343770825857455	0.464068887584824	0.845822221756164	0.703300000000007	0.907113070121948
K00134	6.6693992615694	6.48157192015129	6.97585113448113	0.498351169340485	0.688401526123374	0.558261945805799	0.326666673963313	0.473487218392755	0.845822221756164	0.677500000000004	0.902305399295325
K00135	6.56241747950619	6.5296046354422	6.60192387206506	0.718654924414303	0.85278629973488	0.832844603301179	0.313790814125779	0.271370425630071	0.845822221756164	0.6436	0.897285989090852
K00137	-0.0151467869310569	0.433257925957177	-0.674011165257198	-1.09565235941212	3.59557811638416	-0.191134071217019	0.447701534267589	0.599875003362959	0.861240026543721	0.9982	0.999419967536937
K00138	5.43343678832137	5.21309544776508	5.63004416167464	0.416278885666918	0.795226500307166	0.439912167989102	0.386666671091537	0.508023115669379	0.845923698855347	0.846100000000007	0.951367970883173
K00140	5.6914533116699	5.05628615479544	5.86378889053544	1.1228527808888	0.877596272856676	1.37552666791618	0.000672920018806483	0.0817362674068721	0.845822221756164	0.101399999999999	0.860985704076129
K00141	3.29611445411036	1.82862835795684	3.36617865873201	1.51140154758129	2.10085817614294	0.70844932666839	0.223333348102116	0.264626138133251	0.845822221756164	0.399999999999994	0.860985704076129
K00145	6.25719032142495	6.09325252882482	6.37047271740616	0.481941959481366	0.810665731953248	0.64512617525668	0.300666675444484	0.338023533566634	0.845822221756164	0.590499999999995	0.887818073560442
K00146	2.14925184531561	2.85444490232346	1.95363053368298	-0.932016713350881	0.846316302271035	-1.16523747081409	0.050666753163632	0.198861348132027	0.845822221756164	0.150499999999999	0.860985704076129
K00147	5.00922792661807	4.8021817761367	5.18138175553064	0.373230957061302	0.855854500217689	0.51307163210731	0.227333347706512	0.400227273308649	0.845822221756164	0.412599999999994	0.862570526991699
K00148	3.2517399036509	1.64195093338626	3.75628054048101	1.65333797510842	0.928001343114603	1.38534068093388	0.117333367545311	0.110801953823952	0.845822221756164	0.195299999999997	0.860985704076129
K00150	-6.55323105145985	-7.14252476271978	-6.07890750935804	-0.104212691375448	6.0378092247793	-0.0136676391841054	0.49300466381642	0.702452602568852	0.904351264134509	0.828800000000004	0.950942076126743
K00151	2.27235605241188	2.12820498448428	2.4483844141342	0.221610676353059	0.917444996472811	0.206488429171985	0.35666667245062	0.733228701033712	0.902386697156059	0.756400000000007	0.923398895975538
K00153	1.66369602405034	0.966328090154827	2.24843896928684	0.828873375765559	3.08596665735559	0.252221718767589	0.438000002332155	0.877905054630682	0.956950888881641	1	1
K00154	4.13014775137767	2.82267714454976	4.24892398714248	1.36405171923885	1.55221380815544	0.947445261602029	0.221185891049129	0.166090693645687	0.845822221756164	0.398999999999994	0.860985704076129
K00156	4.95048248413049	4.46745295033101	5.38445249261698	0.261131306897457	1.00356889563788	0.348901872286763	0.399733514856683	0.555187660225004	0.848829140402248	0.881500000000006	0.962144833431648
K00158	4.07567344183589	3.45596362746001	4.70353479824177	1.26372018301602	1.87374047359138	0.866380039512363	0.150000025417554	0.255740727516886	0.845822221756164	0.257999999999998	0.861072777117795
K00161	5.76198216930729	5.47010251930462	5.82914312656762	0.482080652104393	1.06273709559566	0.490890446367076	0.222518335950429	0.438047657127443	0.845822221756164	0.399999999999994	0.860985704076129
K00162	5.7647206768344	5.46559000217781	5.83084282365809	0.49594698553903	1.05625703369916	0.501349400516855	0.225333347902735	0.427190269822551	0.845822221756164	0.399999999999994	0.860985704076129
K00163	5.05424060971565	4.53906316681516	5.24223929451626	0.778330248737926	1.02261092888431	0.947330055284651	0.120666699768791	0.199197516391965	0.845822221756164	0.216799999999997	0.860985704076129
K00164	6.05036119355705	5.8743508662233	6.23148117364369	0.579070948475566	0.880219595332767	0.674676276216254	0.245169899475198	0.350322478052199	0.845822221756164	0.463299999999992	0.869179513421329
K00166	4.37831505514936	4.2513687045268	4.94158554397849	0.686675594655789	0.80222134393939	0.755835198181768	0.230513005387879	0.35545723830945	0.845822221756164	0.423099999999994	0.864429384802014
K00167	4.39704434237539	4.24913880565022	5.03011050969586	0.775128008790352	0.816255759978517	0.821413041791298	0.218521001251004	0.308692144491495	0.845822221756164	0.403599999999994	0.86145092892848
K00169	-2.04901266486392	-1.73747974275309	-2.40551604499799	-1.29336439242937	2.31863800299156	-0.731623253497006	0.207333349822154	0.282356614703999	0.845962522809879	0.416699999999996	0.878278499365952
K00170	-2.73312934635266	-1.74337791192296	-3.399605489668	-1.6760736978068	3.98312981584728	-0.297472629484334	0.339107268463884	0.790336517494716	0.928326715314329	0.712600000000005	0.912518342750074
K00171	-4.24428278461538	-1.74490976010132	-4.88117483869884	-3.21918866757649	5.30571992175094	-0.490092990822718	0.29713525215332	0.596464159499944	0.884675698888108	0.605099999999997	0.892289754750555
K00172	-2.05334296338038	-1.72978503991179	-2.46075263858542	-1.75533285778212	2.52233320831642	-0.737370205364865	0.198000017609354	0.256610103485607	0.845829507526853	0.399799999999995	0.87593479399988
K00174	4.3546170274499	4.19684119537701	4.82934280031364	0.618088681962113	0.915238117593566	0.652283820150473	0.231179227843191	0.360731892982068	0.845822221756164	0.440199999999993	0.866598652268828
K00175	4.34922394179075	4.19350635055345	4.82766769497804	0.627716733139383	0.92450497478419	0.651359223632808	0.235842785039269	0.360632744289102	0.845822221756164	0.438399999999993	0.866474621741937
K00176	-1.97130296293305	-2.33862670116414	-1.61519886599972	0.735599526796185	3.18687644460454	0.226545049578803	0.292666675940256	0.51963118574494	0.85892398360194	0.563999999999994	0.892494507515945
K00177	-1.60527989668268	-1.60690477408455	-1.60295469583507	0.198401985595334	3.41787779767376	0.049047487141754	0.419720189590245	0.62481542234795	0.874919022285673	0.779800000000001	0.940656298939019
K00179	1.70586131656847	1.10459524788869	1.79740963365491	0.716980595328662	0.943348983694492	0.683698235200133	0.332000007014083	0.448343227521602	0.846389533138969	0.696700000000006	0.905529787499527
