rn	rab.all	rab.win.water.lime.Day.0	rab.win.water.untreated.Day.6	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
K02279	4.52817060220093	3.99620641389531	4.76478802055451	0.760311221591626	1.08650227475166	0.616063177939909	0.333333340277776	0.412531161205145	0.547379901758908	0.700000000000006	0.773193329173357
K02280	4.54449588157886	3.40484748990855	4.81107437943741	1.39391267072838	0.797105885928093	0.87456444045779	0.333333340277776	0.321679913973846	0.471063244077811	0.700000000000006	0.773193329173357
K02281	-2.40924184849653	0.682281279445661	-3.79295269245986	-3.76454288013307	2.00559148845062	-1.51138701963129	0.0726667253845589	0.0964331139855276	0.322101297956994	0.166599999999998	0.317916550389726
K02282	4.37338539581429	3.98658739518233	4.70394982375276	0.71967298460017	1.12385997961052	0.556251724798442	0.336000006806324	0.518941156645124	0.633863435063618	0.709300000000007	0.780222986330859
K02283	4.71298410796629	4.61568053116631	4.8064618569615	-0.196141820974704	0.504616904933611	-0.388312539159589	0.438374419369845	0.695173729215608	0.773448263232328	1	1
K02284	-9.08451544791082	-7.09472676377003	-10.2665365132294	-3.90057003094939	5.36279891748631	-0.673019795486765	0.228666680910742	0.351798713144055	0.503146848207609	0.450999999999997	0.566888501161222
K02285	-9.13471198986502	-7.12698259483061	-10.2225330973789	-3.97125035827513	5.31152395462441	-0.65191523711982	0.230513005387879	0.370012856135801	0.517143233719332	0.469499999999996	0.581483726182324
K02286	-9.07782804359278	-7.09163194883942	-10.2298770900665	-3.8600066379482	5.27632005556704	-0.639914630929601	0.250499679176972	0.365512861239773	0.513381336146031	0.462899999999996	0.575715119036122
K02287	-9.08181662493109	-7.25572686841618	-10.3214562038984	-3.94319405427589	5.37401700794539	-0.661766167429676	0.235176562581753	0.370429117846797	0.517265615111767	0.473399999999997	0.584234644133935
K02288	-9.10945403476819	-7.36529708881492	-10.1695324486679	-3.66139216880461	5.34793049658974	-0.624765015483678	0.256495681360653	0.393387700145644	0.535181398045335	0.494699999999995	0.601230414134222
K02289	-9.03411483168434	-7.10879577569108	-10.1881559958482	-3.79225078456832	5.32849132324113	-0.674903001246823	0.229846782932892	0.366921506038641	0.514438606169653	0.460699999999996	0.574146738897584
K02290	-9.08349218119545	-7.1846700680353	-10.1938939359133	-3.89372712266291	5.75757810406334	-0.624063634550084	0.247333345900539	0.382327541233546	0.526559136701253	0.479899999999997	0.589032040407215
K02291	4.11117955893703	3.94121942743607	4.18711987052726	0.244258679126003	0.83063543792304	0.357013550143025	0.263824128499574	0.63923770691564	0.729069488677751	0.526299999999992	0.648516955069426
K02292	-9.12849070420558	-7.47895931056695	-10.2152407760601	-3.74051618936857	5.26849313881865	-0.60759453888857	0.261159238627767	0.397433614227223	0.53763116257875	0.508599999999997	0.613053752355374
K02293	-9.08658359700727	-7.1753609072328	-10.1701826241294	-3.82177243710093	5.36755439856899	-0.614747526346766	0.233177895211057	0.374788872024617	0.520830494123996	0.473399999999996	0.584680757927496
K02294	-9.06240138249562	-7.23702320488146	-10.1797372878173	-3.79081434551021	5.36450319894435	-0.669999309269831	0.23666668016346	0.372036892253994	0.519238129239557	0.478299999999997	0.587628181089897
K02297	4.48738006571221	3.62535642807526	4.89014345588225	1.26015922828639	0.718289192840226	1.28299429752016	0.113924085998685	0.145557259140602	0.348893177815354	0.199999999999997	0.349696264074891
K02298	4.63046685205974	4.1111527465854	4.85432946139378	0.555334753596757	0.710158444081938	0.561949146095598	0.333333340277776	0.636301090255675	0.726746242169216	0.700000000000006	0.773193329173357
K02299	4.63715553538291	4.19527816349976	4.86272983469109	0.549102816091729	0.718663536324119	0.509991566022445	0.333333340277776	0.658808494272648	0.744429082576163	0.700000000000006	0.773193329173357
K02300	4.62815794592786	4.11302741032574	4.8588679426522	0.554866112101884	0.715526576806759	0.572727865387463	0.333333340277776	0.63532257778487	0.726050321866521	0.700000000000006	0.773193329173357
K02302	4.22754057919047	3.07667117095849	4.26395908168633	1.28762013512075	2.13426088762715	0.623334698368381	0.218000015316584	0.275199609969225	0.429946318807482	0.399999999999994	0.558307520214996
